"","Region","Value.properties.Country","State","n"
"184","Callaway County","USA","MO",1
"185","Calloway County","USA","KY",1
"186","Calvert County","USA","MD",1
"187","Cambria County","USA","PA",1
"188","Camden County","USA","GA",3
"189","Camden County","USA","MO",1
"190","Camden County","USA","NJ",6
"191","Cameron County","USA","TX",2
"192","Campbell County","USA","KY",1
"193","Campbell County","USA","WY",1
"194","Canary Islands","Spain","(Missing)",1
"195","Cape Girardeau County","USA","MO",1
"196","Cape May County","USA","NJ",4
"197","Carbon County","USA","MT",1
"198","Carbon County","USA","PA",4
"199","Caroline County","USA","MD",1
"200","Caroline County","USA","VA",1
"201","Carroll County","USA","GA",1
"202","Carroll County","USA","IA",1
"203","Carroll County","USA","MD",3
"204","Carroll County","USA","NH",3
"205","Carroll County","USA","TN",1
"206","Carson City","USA","NV",1
"207","Carter County","USA","OK",1
"208","Carteret County","USA","NC",2
"209","Carver County","USA","MN",1
"210","Cascade County","USA","MT",1
"211","Cass County","USA","IA",1
"212","Cass County","USA","IL",1
"213","Cass County","USA","MI",2
"214","Cass County","USA","ND",1
"215","Cass County","USA","TX",1
"216","Catawba County","USA","NC",2
"217","Cattaraugus County","USA","NY",1
"218","Cayuga County","USA","NY",1
"219","Cecil County","USA","MD",2
"220","Centre County","USA","PA",3
"221","Cerro Gordo County","USA","IA",1
"222","Chaffee County","USA","CO",1
"223","Champaign County","USA","IL",3
"224","Charles City County","USA","VA",1
"225","Charles County","USA","MD",2
"226","Charleston County","USA","SC",2
"227","Charlevoix County","USA","MI",1
"228","Charlotte County","USA","FL",2
"229","Charlottesville city","USA","VA",1
"230","Chatham County","USA","GA",2
"231","Chatham County","USA","NC",1
"232","Chautauqua County","USA","NY",3
"233","Chaves County","USA","NM",1
"234","Cheboygan County","USA","MI",1
"235","Chelan County","USA","WA",2
"236","Chemung County","USA","NY",1
"237","Chenango County","USA","NY",1
"238","Cherokee County","USA","GA",2
"239","Cherokee County","USA","NC",1
"240","Cherokee County","USA","OK",1
"241","Cherokee County","USA","SC",1
"242","Cherokee County","USA","TX",1
"243","Chesapeake city","USA","VA",1
"244","Cheshire County","USA","NH",2
"245","Chester County","USA","PA",6
"246","Chester County","USA","SC",1
"247","Chesterfield County","USA","SC",1
"248","Chesterfield County","USA","VA",1
"249","Cheyenne County","USA","NE",1
"250","Chippewa County","USA","MI",1
"251","Chippewa County","USA","MN",1
"252","Chittenden County","USA","VT",5
"253","Choctaw County","USA","AL",1
"254","Chowan County","USA","NC",1
"255","Christian County","USA","IL",1
"256","Christian County","USA","KY",1
"257","Churchill County","USA","NV",1
"258","Citrus County","USA","FL",2
"259","Clackamas County","USA","OR",9
"260","Clallam County","USA","WA",3
