,Country_Region,Date,Total_Cases,Month,Avg_Temp,Protest_Count,FIPS,PopMale,PopFemale,PopTotal,PopDensity,Area.sq.km
7213,Sri Lanka,2020-05-30,1620,2020-05,26.88333333333333,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7214,Sri Lanka,2020-05-31,1633,2020-05,26.88333333333333,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7215,Sri Lanka,2020-06-01,1643,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7216,Sri Lanka,2020-06-02,1683,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7217,Sri Lanka,2020-06-03,1749,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7218,Sri Lanka,2020-06-04,1797,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7219,Sri Lanka,2020-06-05,1801,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7220,Sri Lanka,2020-06-06,1814,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7221,Sri Lanka,2020-06-07,1835,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7222,Sri Lanka,2020-06-08,1857,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7223,Sri Lanka,2020-06-09,1859,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7224,Sri Lanka,2020-06-10,1869,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7225,Sri Lanka,2020-06-11,1877,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
